,Unnamed: 0,Unnamed: 0.1,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Position,OriginPlayerIDFit,DestinationPlayerIDFit,PlayerIDFitPair,PassingBetweenPlayerCount,DestinationPosition,PositionFitPair,PassingBetweenPositionCount,dist,PositionFitPairScore,OneDevideDist,StdPassingBetweenPlayerCount,weight,OutCount,InCount
0,0,0,1,Huskies,Huskies_D1,Huskies_F1,1H,46.32350099999999,Head pass,34,97,59.0,95.0,D,0,10,"(10, 0)",23,F,"('D', 'F')",999,25.079872407968914,0.5,0.039872611141445,0.12154696132596685,0.2206297948597872,851,473
1,1,1,1,Huskies,Huskies_M1,Huskies_F2,1H,51.02254600000001,Simple pass,53,89,69.0,91.0,M,17,11,"(11, 17)",182,F,"('M', 'F')",849,16.1245154965971,0.25,0.06201736729460424,1.0,0.44556275513321686,1255,927
2,2,4,1,Huskies,Huskies_M2,Huskies_M3,1H,98.26519100000002,Simple pass,42,55,36.0,54.0,M,22,23,"(23, 22)",12,M,"('M', 'M')",1301,6.0827625302982185,1.0,0.1643989873053573,0.06077348066298342,0.3826670141224579,76,717
3,3,8,1,Huskies,Huskies_D1,Huskies_F1,1H,130.65652999999998,Head pass,34,91,52.0,97.0,D,0,10,"(10, 0)",23,F,"('D', 'F')",999,18.973665961010283,0.5,0.05270462766947299,0.12154696132596685,0.2206297948597872,851,473
4,4,11,1,Huskies,Huskies_D1,Huskies_G1,1H,161.22146999999995,Simple pass,14,65,11.0,50.0,D,0,16,"(16, 0)",107,G,"('D', 'G')",443,15.297058540778355,0.5,0.06537204504606134,0.5856353591160219,0.37584980839817717,851,496
5,5,12,1,Huskies,Huskies_G1,Huskies_G1,1H,164.626056,Hand pass,11,50,5.0,45.0,G,16,16,"(16, 16)",2,G,"('G', 'G')",2,7.810249675906653,0.0,0.12803687993289598,0.0055248618784530384,0.02635988725954524,473,496
6,6,13,1,Huskies,Huskies_D1,Huskies_D2,1H,247.469049,Simple pass,17,92,22.0,62.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,30.413812651491103,1.0,0.03287979746107145,0.32044198895027626,0.4578013677983789,851,467
7,7,14,1,Huskies,Huskies_D2,Huskies_D3,1H,249.694665,Simple pass,22,62,19.0,24.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,38.11823710509184,1.0,0.026234161806670226,0.26519337016574585,0.43398821703240853,580,582
8,8,15,1,Huskies,Huskies_D3,Huskies_G1,1H,251.513079,Simple pass,19,24,8.0,45.0,D,3,16,"(16, 3)",120,G,"('D', 'G')",443,23.706539182259394,0.5,0.04218245406095978,0.6574585635359116,0.3989407062980976,727,496
9,9,16,1,Huskies,Huskies_G1,Huskies_D3,1H,257.29520299999996,Simple pass,8,45,19.0,13.0,G,16,3,"(3, 16)",49,D,"('G', 'D')",257,33.83784863137726,0.5,0.029552706228277083,0.26519337016574585,0.2675943729389667,473,582
