,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Position,OriginPlayerIDFit,DestinationPlayerIDFit,PlayerIDFitPair,PassingBetweenPlayerCount,DestinationPosition,PositionFitPair,PassingBetweenPositionCount
0,1,Huskies,Huskies_D1,Huskies_F1,1H,46.32350099999999,Head pass,34,97,59.0,95.0,D,0,10,"(0, 10)",23,F,"('D', 'F')",999
1,1,Huskies,Huskies_M1,Huskies_F2,1H,51.02254600000001,Simple pass,53,89,69.0,91.0,M,17,11,"(17, 11)",182,F,"('M', 'F')",849
4,1,Huskies,Huskies_M2,Huskies_M3,1H,98.26519100000002,Simple pass,42,55,36.0,54.0,M,22,23,"(22, 23)",12,M,"('M', 'M')",1301
8,1,Huskies,Huskies_D1,Huskies_F1,1H,130.65652999999998,Head pass,34,91,52.0,97.0,D,0,10,"(0, 10)",23,F,"('D', 'F')",999
11,1,Huskies,Huskies_D1,Huskies_G1,1H,161.22146999999998,Simple pass,14,65,11.0,50.0,D,0,16,"(0, 16)",107,G,"('D', 'G')",443
12,1,Huskies,Huskies_G1,Huskies_G1,1H,164.626056,Hand pass,11,50,5.0,45.0,G,16,16,"(16, 16)",2,G,"('G', 'G')",2
13,1,Huskies,Huskies_D1,Huskies_D2,1H,247.469049,Simple pass,17,92,22.0,62.0,D,0,2,"(0, 2)",59,D,"('D', 'D')",1478
14,1,Huskies,Huskies_D2,Huskies_D3,1H,249.694665,Simple pass,22,62,19.0,24.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
15,1,Huskies,Huskies_D3,Huskies_G1,1H,251.513079,Simple pass,19,24,8.0,45.0,D,3,16,"(3, 16)",120,G,"('D', 'G')",443
16,1,Huskies,Huskies_G1,Huskies_D3,1H,257.29520299999996,Simple pass,8,45,19.0,13.0,G,16,3,"(16, 3)",49,D,"('G', 'D')",257
17,1,Huskies,Huskies_D3,Huskies_G1,1H,259.61498900000004,Simple pass,19,13,12.0,38.0,D,3,16,"(3, 16)",120,G,"('D', 'G')",443
18,1,Huskies,Huskies_D2,Huskies_D3,1H,286.49734,Simple pass,48,50,55.0,24.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
19,1,Huskies,Huskies_D3,Huskies_D4,1H,288.281009,Simple pass,55,24,60.0,5.0,D,3,4,"(3, 4)",59,D,"('D', 'D')",1478
20,1,Huskies,Huskies_D4,Huskies_D3,1H,291.122151,Simple pass,60,5,33.0,21.0,D,4,3,"(4, 3)",35,D,"('D', 'D')",1478
21,1,Huskies,Huskies_D3,Huskies_G1,1H,294.666496,Simple pass,33,21,15.0,70.0,D,3,16,"(3, 16)",120,G,"('D', 'G')",443
22,1,Huskies,Huskies_G1,Huskies_F1,1H,298.519487,High pass,15,70,60.0,99.0,G,16,10,"(16, 10)",77,F,"('G', 'F')",133
24,1,Huskies,Huskies_D1,Huskies_M3,1H,325.77883,Simple pass,19,98,35.0,86.0,D,0,23,"(0, 23)",51,M,"('D', 'M')",1520
25,1,Huskies,Huskies_M3,Huskies_M1,1H,329.565823,Simple pass,35,86,30.0,97.0,M,23,17,"(23, 17)",168,M,"('M', 'M')",1301
26,1,Huskies,Huskies_M2,Huskies_D3,1H,349.651805,Simple pass,47,59,47.0,27.0,M,22,3,"(22, 3)",3,D,"('M', 'D')",1668
27,1,Huskies,Huskies_D3,Huskies_M3,1H,352.602839,Simple pass,47,27,45.0,40.0,D,3,23,"(3, 23)",54,M,"('D', 'M')",1520
28,1,Huskies,Huskies_M3,Huskies_D3,1H,354.42474599999997,Simple pass,45,40,47.0,12.0,M,23,3,"(23, 3)",56,D,"('M', 'D')",1668
31,1,Huskies,Huskies_G1,Huskies_D1,1H,390.709116,Hand pass,8,55,25.0,94.0,G,16,0,"(16, 0)",76,D,"('G', 'D')",257
32,1,Huskies,Huskies_D1,Huskies_D2,1H,395.609802,Simple pass,25,94,24.0,55.0,D,0,2,"(0, 2)",59,D,"('D', 'D')",1478
33,1,Huskies,Huskies_D2,Huskies_D3,1H,398.392099,Simple pass,24,55,24.0,20.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
34,1,Huskies,Huskies_D3,Huskies_M2,1H,401.473688,Simple pass,24,20,33.0,20.0,D,3,22,"(3, 22)",5,M,"('D', 'M')",1520
