,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Position,OriginPlayerID_,OriginPlayerIDFit,DestinationPlayerID_,DestinationPlayerIDFit,PlayerIDFitPair,PassingBetweenPlayerCount,DestinationPosition,PositionFitPair,PassingBetweenPositionCount
2,1,Opponent1,Opponent1_D2,Opponent1_G1,1H,89.00872099999998,Simple pass,19,16,5.0,50.0,D,D2,1,G1,13,"(1, 13)",76,G,"('D', 'G')",383
3,1,Opponent1,Opponent1_G1,Opponent1_F1,1H,92.21616,Launch,5,50,67.0,44.0,G,G1,13,F1,7,"(13, 7)",29,F,"('G', 'F')",73
5,1,Opponent1,Opponent1_D1,Opponent1_F2,1H,109.02554500000002,Simple pass,30,11,31.0,22.0,D,D1,0,F2,8,"(0, 8)",39,F,"('D', 'F')",607
6,1,Opponent1,Opponent1_F2,Opponent1_D2,1H,111.02599700000002,Simple pass,31,22,27.0,23.0,F,F2,8,D2,1,"(8, 1)",22,D,"('F', 'D')",336
7,1,Opponent1,Opponent1_D2,Opponent1_M1,1H,112.85614800000002,High pass,27,23,36.0,6.0,D,D2,1,M1,15,"(1, 15)",154,M,"('D', 'M')",2526
9,1,Opponent1,Opponent1_F2,Opponent1_D3,1H,151.85275,Simple pass,48,12,46.0,56.0,F,F2,8,D3,2,"(8, 2)",27,D,"('F', 'D')",336
10,1,Opponent1,Opponent1_D3,Opponent1_M2,1H,154.63611600000004,Simple pass,46,56,56.0,68.0,D,D3,2,M2,16,"(2, 16)",74,M,"('D', 'M')",2526
23,1,Opponent1,Opponent1_M1,Opponent1_D1,1H,318.875721,Simple pass,55,12,62.0,9.0,M,M1,15,D1,0,"(15, 0)",125,D,"('M', 'D')",2499
29,1,Opponent1,Opponent1_D4,Opponent1_M3,1H,380.02212000000003,Simple pass,19,68,27.0,65.0,D,D4,3,M3,17,"(3, 17)",72,M,"('D', 'M')",2526
30,1,Opponent1,Opponent1_M3,Opponent1_D3,1H,380.840808,Simple pass,27,65,27.0,90.0,M,M3,17,D3,2,"(17, 2)",123,D,"('M', 'D')",2499
47,1,Opponent1,Opponent1_M3,Opponent1_F2,1H,432.039458,Simple pass,42,30,47.0,50.0,M,M3,17,F2,8,"(17, 8)",46,F,"('M', 'F')",809
48,1,Opponent1,Opponent1_F2,Opponent1_D3,1H,435.131832,Simple pass,47,50,41.0,54.0,F,F2,8,D3,2,"(8, 2)",27,D,"('F', 'D')",336
49,1,Opponent1,Opponent1_D3,Opponent1_G1,1H,437.284701,Simple pass,41,54,14.0,55.0,D,D3,2,G1,13,"(2, 13)",84,G,"('D', 'G')",383
50,1,Opponent1,Opponent1_G1,Opponent1_D3,1H,440.931405,Simple pass,14,55,36.0,85.0,G,G1,13,D3,2,"(13, 2)",63,D,"('G', 'D')",331
51,1,Opponent1,Opponent1_D3,Opponent1_M3,1H,446.42999000000003,Simple pass,36,85,41.0,70.0,D,D3,2,M3,17,"(2, 17)",118,M,"('D', 'M')",2526
52,1,Opponent1,Opponent1_M3,Opponent1_D2,1H,448.823337,Simple pass,41,70,51.0,13.0,M,M3,17,D2,1,"(17, 1)",117,D,"('M', 'D')",2499
53,1,Opponent1,Opponent1_D2,Opponent1_D1,1H,452.24935899999997,High pass,51,13,84.0,12.0,D,D2,1,D1,0,"(1, 0)",103,D,"('D', 'D')",1795
64,1,Opponent1,Opponent1_F3,Opponent1_F2,1H,504.396917,Simple pass,54,84,55.0,48.0,F,F3,9,F2,8,"(9, 8)",12,F,"('F', 'F')",169
65,1,Opponent1,Opponent1_F2,Opponent1_M2,1H,506.680864,Simple pass,55,48,55.0,32.0,F,F2,8,M2,16,"(8, 16)",47,M,"('F', 'M')",680
66,1,Opponent1,Opponent1_M2,Opponent1_D1,1H,510.874655,Simple pass,55,32,43.0,28.0,M,M2,16,D1,0,"(16, 0)",83,D,"('M', 'D')",2499
67,1,Opponent1,Opponent1_D1,Opponent1_D2,1H,512.290179,Simple pass,43,28,41.0,38.0,D,D1,0,D2,1,"(0, 1)",129,D,"('D', 'D')",1795
68,1,Opponent1,Opponent1_D2,Opponent1_M3,1H,516.923641,Simple pass,61,52,57.0,86.0,D,D2,1,M3,17,"(1, 17)",129,M,"('D', 'M')",2526
69,1,Opponent1,Opponent1_M3,Opponent1_F3,1H,520.306956,Smart pass,57,86,99.0,72.0,M,M3,17,F3,9,"(17, 9)",38,F,"('M', 'F')",809
70,1,Opponent1,Opponent1_M3,Opponent1_D1,1H,605.781783,Simple pass,62,68,55.0,29.0,M,M3,17,D1,0,"(17, 0)",114,D,"('M', 'D')",2499
