,Unnamed: 0,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Position,OriginPlayerIDFit,DestinationPlayerIDFit,PlayerIDFitPair,PassingBetweenPlayerCount,DestinationPosition,PositionFitPair,PassingBetweenPositionCount,dist,PositionFitPairScore,OneDevideDist,StdPassingBetweenPlayerCount,weight
0,0,1,Huskies,Huskies_D1,Huskies_F1,1H,46.32350099999999,Head pass,34,97,59.0,95.0,D,0,10,"(10, 0)",23,F,"('D', 'F')",999,25.079872407968907,0.5,0.039872611141445,0.12154696132596685,0.22047319082247058
1,1,1,Huskies,Huskies_M1,Huskies_F2,1H,51.02254600000001,Simple pass,53,89,69.0,91.0,M,17,11,"(11, 17)",182,F,"('M', 'F')",849,16.1245154965971,0.25,0.062017367294604234,1.0,0.4373391224315347
2,4,1,Huskies,Huskies_M2,Huskies_M3,1H,98.26519100000002,Simple pass,42,55,36.0,54.0,M,22,23,"(23, 22)",12,M,"('M', 'M')",1301,6.082762530298219,1.0,0.1643989873053573,0.06077348066298342,0.40839082265611354
3,8,1,Huskies,Huskies_D1,Huskies_F1,1H,130.65652999999998,Head pass,34,91,52.0,97.0,D,0,10,"(10, 0)",23,F,"('D', 'F')",999,18.973665961010276,0.5,0.05270462766947299,0.12154696132596685,0.22475052966514658
4,11,1,Huskies,Huskies_D1,Huskies_G1,1H,161.22146999999995,Simple pass,14,65,11.0,50.0,D,0,16,"(16, 0)",107,G,"('D', 'G')",443,15.297058540778355,0.5,0.06537204504606134,0.585635359116022,0.3836691347206944
5,12,1,Huskies,Huskies_G1,Huskies_G1,1H,164.626056,Hand pass,11,50,5.0,45.0,G,16,16,"(16, 16)",2,G,"('G', 'G')",2,7.810249675906654,0.0,0.12803687993289598,0.0055248618784530384,0.04452058060378301
6,13,1,Huskies,Huskies_D1,Huskies_D2,1H,247.469049,Simple pass,17,92,22.0,62.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,30.4138126514911,1.0,0.032879797461071454,0.32044198895027626,0.4511072621371159
7,14,1,Huskies,Huskies_D2,Huskies_D3,1H,249.694665,Simple pass,22,62,19.0,24.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,38.118237105091836,1.0,0.026234161806670223,0.26519337016574585,0.43047584399080535
8,15,1,Huskies,Huskies_D3,Huskies_G1,1H,251.513079,Simple pass,19,24,8.0,45.0,D,3,16,"(16, 3)",120,G,"('D', 'G')",443,23.706539182259394,0.5,0.04218245406095978,0.6574585635359116,0.3998803391989571
9,16,1,Huskies,Huskies_G1,Huskies_D3,1H,257.295203,Simple pass,8,45,19.0,13.0,G,16,3,"(3, 16)",49,D,"('G', 'D')",257,33.83784863137726,0.5,0.029552706228277083,0.26519337016574585,0.26491535879800765
