,Unnamed: 0,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Position,OriginPlayerID_,OriginPlayerIDFit,DestinationPlayerID_,DestinationPlayerIDFit,PlayerIDFitPair,PassingBetweenPlayerCount,DestinationPosition,PositionFitPair,PassingBetweenPositionCount,dist,PositionFitPairScore,OneDevideDist,StdPassingBetweenPlayerCount,weight
0,2,1,Opponent1,Opponent1_D2,Opponent1_G1,1H,89.00872099999998,Simple pass,19,16,5.0,50.0,D,D2,1,G1,13,"(1, 13)",76,G,"('D', 'G')",383,36.76955262170047,0.5,0.02719641466102106,0.49019607843137253,0.33913083103079783
1,3,1,Opponent1,Opponent1_G1,Opponent1_F1,1H,92.21616,Launch,5,50,67.0,44.0,G,G1,13,F1,7,"(13, 7)",29,F,"('G', 'F')",73,62.289646009589745,0.125,0.01605403247669839,0.1830065359477124,0.1080201894748036
2,5,1,Opponent1,Opponent1_D1,Opponent1_F2,1H,109.02554500000002,Simple pass,30,11,31.0,22.0,D,D1,0,F2,8,"(0, 8)",39,F,"('D', 'F')",607,11.045361017187261,0.5,0.09053574604251853,0.24836601307189543,0.27963391970480467
3,6,1,Opponent1,Opponent1_F2,Opponent1_D2,1H,111.02599700000002,Simple pass,31,22,27.0,23.0,F,F2,8,D2,1,"(8, 1)",22,D,"('F', 'D')",336,4.123105625617661,0.5,0.24253562503633297,0.13725490196078433,0.2932635089990391
4,7,1,Opponent1,Opponent1_D2,Opponent1_M1,1H,112.85614800000002,High pass,27,23,36.0,6.0,D,D2,1,M1,15,"(1, 15)",154,M,"('D', 'M')",2526,19.235384061671343,0.75,0.05198752449100364,1.0,0.6006625081636678
5,9,1,Opponent1,Opponent1_F2,Opponent1_D3,1H,151.85275,Simple pass,48,12,46.0,56.0,F,F2,8,D3,2,"(8, 2)",27,D,"('F', 'D')",336,44.04543109109048,0.5,0.022703830459324992,0.16993464052287582,0.23087949032740024
6,10,1,Opponent1,Opponent1_D3,Opponent1_M2,1H,154.63611600000004,Simple pass,46,56,56.0,68.0,D,D3,2,M2,16,"(2, 16)",74,M,"('D', 'M')",2526,15.620499351813308,0.75,0.06401843996644799,0.477124183006536,0.43038087432432803
7,23,1,Opponent1,Opponent1_M1,Opponent1_D1,1H,318.875721,Simple pass,55,12,62.0,9.0,M,M1,15,D1,0,"(15, 0)",125,D,"('M', 'D')",2499,7.615773105863909,0.25,0.13130643285972254,0.8104575163398693,0.39725464973319724
8,29,1,Opponent1,Opponent1_D4,Opponent1_M3,1H,380.02212,Simple pass,19,68,27.0,65.0,D,D4,3,M3,17,"(3, 17)",72,M,"('D', 'M')",2526,8.54400374531753,0.75,0.11704114719613057,0.46405228758169936,0.44369781159261
9,30,1,Opponent1,Opponent1_M3,Opponent1_D3,1H,380.840808,Simple pass,27,65,27.0,90.0,M,M3,17,D3,2,"(17, 2)",123,D,"('M', 'D')",2499,25.0,0.25,0.04,0.7973856209150327,0.36246187363834426
10,47,1,Opponent1,Opponent1_M3,Opponent1_F2,1H,432.039458,Simple pass,42,30,47.0,50.0,M,M3,17,F2,8,"(17, 8)",46,F,"('M', 'F')",809,20.615528128088304,0.25,0.048507125007266595,0.29411764705882354,0.1975415906886967
11,48,1,Opponent1,Opponent1_F2,Opponent1_D3,1H,435.13183200000003,Simple pass,47,50,41.0,54.0,F,F2,8,D3,2,"(8, 2)",27,D,"('F', 'D')",336,7.211102550927978,0.5,0.1386750490563073,0.16993464052287582,0.269536563193061
12,49,1,Opponent1,Opponent1_D3,Opponent1_G1,1H,437.284701,Simple pass,41,54,14.0,55.0,D,D3,2,G1,13,"(2, 13)",84,G,"('D', 'G')",383,27.018512172212592,0.5,0.037011660509880265,0.5424836601307189,0.35983177354686635
13,50,1,Opponent1,Opponent1_G1,Opponent1_D3,1H,440.931405,Simple pass,14,55,36.0,85.0,G,G1,13,D3,2,"(13, 2)",63,D,"('G', 'D')",331,37.20215047547655,0.5,0.026880166528523517,0.40522875816993464,0.31070297489948606
14,51,1,Opponent1,Opponent1_D3,Opponent1_M3,1H,446.42999,Simple pass,36,85,41.0,70.0,D,D3,2,M3,17,"(2, 17)",118,M,"('D', 'M')",2526,15.811388300841896,0.75,0.06324555320336758,0.7647058823529411,0.525983811852103
15,52,1,Opponent1,Opponent1_M3,Opponent1_D2,1H,448.82333700000004,Simple pass,41,70,51.0,13.0,M,M3,17,D2,1,"(17, 1)",117,D,"('M', 'D')",2499,57.87054518492115,0.25,0.017279947800812524,0.7581699346405228,0.34181662748044506
