,Unnamed: 0,Unnamed: 0.1,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Position,OriginPlayerIDFit,DestinationPlayerIDFit,PlayerIDFitPair,PassingBetweenPlayerCount,DestinationPosition,PositionFitPair,PassingBetweenPositionCount,dist,PositionFitPairScore,OneDevideDist,StdPassingBetweenPlayerCount,weight
0,0,0,1,Huskies,Huskies_D1,Huskies_F1,1H,46.32350099999999,Head pass,34,97,59.0,95.0,D,0,10,"(10, 0)",23,F,"('D', 'F')",999,25.079872407968914,0.5,0.039872611141445,0.12154696132596685,0.2206297948597872
1,1,1,1,Huskies,Huskies_M1,Huskies_F2,1H,51.02254600000001,Simple pass,53,89,69.0,91.0,M,17,11,"(11, 17)",182,F,"('M', 'F')",849,16.1245154965971,0.25,0.06201736729460424,1.0,0.44556275513321686
2,2,4,1,Huskies,Huskies_M2,Huskies_M3,1H,98.26519100000002,Simple pass,42,55,36.0,54.0,M,22,23,"(23, 22)",12,M,"('M', 'M')",1301,6.0827625302982185,1.0,0.1643989873053573,0.06077348066298342,0.3826670141224579
3,3,8,1,Huskies,Huskies_D1,Huskies_F1,1H,130.65652999999998,Head pass,34,91,52.0,97.0,D,0,10,"(10, 0)",23,F,"('D', 'F')",999,18.973665961010283,0.5,0.05270462766947299,0.12154696132596685,0.2206297948597872
4,4,11,1,Huskies,Huskies_D1,Huskies_G1,1H,161.22146999999995,Simple pass,14,65,11.0,50.0,D,0,16,"(16, 0)",107,G,"('D', 'G')",443,15.297058540778355,0.5,0.06537204504606134,0.5856353591160219,0.37584980839817717
5,5,12,1,Huskies,Huskies_G1,Huskies_G1,1H,164.626056,Hand pass,11,50,5.0,45.0,G,16,16,"(16, 16)",2,G,"('G', 'G')",2,7.810249675906653,0.0,0.12803687993289598,0.0055248618784530384,0.02635988725954524
6,6,13,1,Huskies,Huskies_D1,Huskies_D2,1H,247.469049,Simple pass,17,92,22.0,62.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,30.413812651491103,1.0,0.03287979746107145,0.32044198895027626,0.4578013677983789
7,7,14,1,Huskies,Huskies_D2,Huskies_D3,1H,249.694665,Simple pass,22,62,19.0,24.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,38.11823710509184,1.0,0.026234161806670226,0.26519337016574585,0.43398821703240853
8,8,15,1,Huskies,Huskies_D3,Huskies_G1,1H,251.513079,Simple pass,19,24,8.0,45.0,D,3,16,"(16, 3)",120,G,"('D', 'G')",443,23.706539182259394,0.5,0.04218245406095978,0.6574585635359116,0.3989407062980976
9,9,16,1,Huskies,Huskies_G1,Huskies_D3,1H,257.29520299999996,Simple pass,8,45,19.0,13.0,G,16,3,"(3, 16)",49,D,"('G', 'D')",257,33.83784863137726,0.5,0.029552706228277083,0.26519337016574585,0.2675943729389667
10,10,17,1,Huskies,Huskies_D3,Huskies_G1,1H,259.61498900000004,Simple pass,19,13,12.0,38.0,D,3,16,"(16, 3)",120,G,"('D', 'G')",443,25.96150997149434,0.5,0.03851856078856727,0.6574585635359116,0.3989407062980976
11,11,18,1,Huskies,Huskies_D2,Huskies_D3,1H,286.49734,Simple pass,48,50,55.0,24.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,26.925824035672523,1.0,0.037139067635410375,0.26519337016574585,0.43398821703240853
12,12,19,1,Huskies,Huskies_D3,Huskies_D4,1H,288.281009,Simple pass,55,24,60.0,5.0,D,3,4,"(4, 3)",59,D,"('D', 'D')",1478,19.6468827043885,1.0,0.05089865985592877,0.32044198895027626,0.45969111716637123
13,13,20,1,Huskies,Huskies_D4,Huskies_D3,1H,291.122151,Simple pass,60,5,33.0,21.0,D,4,3,"(3, 4)",35,D,"('D', 'D')",1478,31.38470965295043,1.0,0.031862649393858314,0.1878453038674033,0.4134484504185936
14,14,21,1,Huskies,Huskies_D3,Huskies_G1,1H,294.666496,Simple pass,33,21,15.0,70.0,D,3,16,"(16, 3)",120,G,"('D', 'G')",443,52.20153254455275,0.5,0.019156525704423027,0.6574585635359116,0.3989407062980976
15,15,22,1,Huskies,Huskies_G1,Huskies_F1,1H,298.519487,High pass,15,70,60.0,99.0,G,16,10,"(10, 16)",77,F,"('G', 'F')",133,53.535035257296684,0.125,0.01867935633541406,0.4198895027624309,0.18734192337191422
16,16,24,1,Huskies,Huskies_D1,Huskies_M3,1H,325.77883,Simple pass,19,98,35.0,86.0,D,0,23,"(23, 0)",51,M,"('D', 'M')",1520,20.0,0.75,0.05,0.27624309392265195,0.36284898704161533
17,17,25,1,Huskies,Huskies_M3,Huskies_M1,1H,329.565823,Simple pass,35,86,30.0,97.0,M,23,17,"(17, 23)",168,M,"('M', 'M')",1301,12.083045973594572,1.0,0.0827605888602368,0.9226519337016574,0.6635668458030811
18,18,26,1,Huskies,Huskies_M2,Huskies_D3,1H,349.651805,Simple pass,47,59,47.0,27.0,M,22,3,"(3, 22)",3,D,"('M', 'D')",1668,32.0,0.25,0.03125,0.011049723756906077,0.09952076420683816
19,19,27,1,Huskies,Huskies_D3,Huskies_M3,1H,352.602839,Simple pass,47,27,45.0,40.0,D,3,23,"(23, 3)",54,M,"('D', 'M')",1520,13.152946437965904,0.75,0.07602859212697055,0.29281767955801097,0.3746212929952345
20,20,28,1,Huskies,Huskies_M3,Huskies_D3,1H,354.42474599999997,Simple pass,45,40,47.0,12.0,M,23,3,"(3, 23)",56,D,"('M', 'D')",1668,28.071337695236398,0.25,0.035623524993954825,0.30386740331491713,0.2030083936968661
21,21,31,1,Huskies,Huskies_G1,Huskies_D1,1H,390.709116,Hand pass,8,55,25.0,94.0,G,16,0,"(0, 16)",76,D,"('G', 'D')",257,42.5440947723653,0.5,0.02350502473611342,0.4143646408839779,0.3176955831493369
22,22,32,1,Huskies,Huskies_D1,Huskies_D2,1H,395.609802,Simple pass,25,94,24.0,55.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,39.01281840626232,1.0,0.0256326007925508,0.32044198895027626,0.4578013677983789
23,23,33,1,Huskies,Huskies_D2,Huskies_D3,1H,398.392099,Simple pass,24,55,24.0,20.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,35.0,1.0,0.028571428571428567,0.26519337016574585,0.43398821703240853
24,24,34,1,Huskies,Huskies_D3,Huskies_M2,1H,401.473688,Simple pass,24,20,33.0,20.0,D,3,22,"(22, 3)",5,M,"('D', 'M')",1520,9.0,0.75,0.1111111111111111,0.022099447513812157,0.28841948637059184
25,25,35,1,Huskies,Huskies_M2,Huskies_M3,1H,402.505899,Simple pass,33,20,33.0,35.0,M,22,23,"(23, 22)",12,M,"('M', 'M')",1301,15.0,1.0,0.06666666666666668,0.06077348066298342,0.3826670141224579
26,26,36,1,Huskies,Huskies_M3,Huskies_D3,1H,403.23103,Simple pass,33,35,24.0,24.0,M,23,3,"(3, 23)",56,D,"('M', 'D')",1668,14.212670403551895,0.25,0.07035975447302918,0.30386740331491713,0.2030083936968661
27,27,37,1,Huskies,Huskies_D3,Huskies_D2,1H,405.51327799999996,Simple pass,24,24,29.0,68.0,D,3,2,"(2, 3)",35,D,"('D', 'D')",1478,44.28317965096907,1.0,0.022581937608857242,0.1878453038674033,0.40900300766315617
28,28,38,1,Huskies,Huskies_D2,Huskies_D1,1H,409.39515100000006,Simple pass,29,68,25.0,88.0,D,2,0,"(0, 2)",62,D,"('D', 'D')",1478,20.396078054371138,1.0,0.04902903378454601,0.3370165745856354,0.45812201470185776
29,29,39,1,Huskies,Huskies_D1,Huskies_M1,1H,411.012684,Simple pass,25,88,31.0,99.0,D,0,17,"(17, 0)",92,M,"('D', 'M')",1520,12.529964086141668,0.75,0.07980868844676221,0.5027624309392266,0.44089306920203775
30,30,40,1,Huskies,Huskies_M1,Huskies_D1,1H,413.899208,Simple pass,31,99,27.0,88.0,M,17,0,"(0, 17)",85,D,"('M', 'D')",1668,11.704699910719626,0.25,0.0854357657716761,0.4640883977900552,0.2570323265472936
31,31,41,1,Huskies,Huskies_D1,Huskies_D2,1H,415.523873,Simple pass,27,88,29.0,53.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,35.05709628591621,1.0,0.028524895269256476,0.32044198895027626,0.4578013677983789
32,32,42,1,Huskies,Huskies_D2,Huskies_D3,1H,417.778381,Simple pass,29,53,37.0,14.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,39.812058474788756,1.0,0.02511801796516641,0.26519337016574585,0.43398821703240853
33,33,43,1,Huskies,Huskies_D3,Huskies_M2,1H,421.15364400000004,Simple pass,37,14,42.0,16.0,D,3,22,"(22, 3)",5,M,"('D', 'M')",1520,5.385164807134505,0.75,0.18569533817705186,0.022099447513812157,0.28841948637059184
34,34,44,1,Huskies,Huskies_M2,Huskies_D2,1H,423.251583,Simple pass,42,16,36.0,54.0,M,22,2,"(2, 22)",3,D,"('M', 'D')",1668,38.47076812334269,0.25,0.02599376224550182,0.011049723756906077,0.10124054880469047
35,35,45,1,Huskies,Huskies_D2,Huskies_D1,1H,426.777238,Simple pass,36,54,32.0,85.0,D,2,0,"(0, 2)",62,D,"('D', 'D')",1478,31.256999216175572,1.0,0.031992834407549194,0.3370165745856354,0.45812201470185776
36,36,46,1,Huskies,Huskies_D1,Huskies_F2,1H,429.55057300000004,Simple pass,32,85,59.0,67.0,D,0,11,"(11, 0)",49,F,"('D', 'F')",999,32.449961479175904,0.5,0.03081667756806828,0.26519337016574585,0.27734955359193797
37,37,54,1,Huskies,Huskies_M3,Huskies_D1,1H,470.526751,Simple pass,38,74,23.0,81.0,M,23,0,"(0, 23)",74,D,"('M', 'D')",1668,16.55294535724685,0.25,0.0604122093330177,0.4033149171270719,0.23693348531584818
38,38,55,1,Huskies,Huskies_D1,Huskies_D2,1H,472.345004,Simple pass,23,81,33.0,56.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,26.925824035672523,1.0,0.037139067635410375,0.32044198895027626,0.4578013677983789
39,39,56,1,Huskies,Huskies_D2,Huskies_D3,1H,475.81912,Simple pass,33,56,31.0,16.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,40.04996878900158,1.0,0.02496880847194612,0.26519337016574585,0.43398821703240853
40,40,57,1,Huskies,Huskies_D3,Huskies_D2,1H,478.063252,Simple pass,31,16,35.0,59.0,D,3,2,"(2, 3)",35,D,"('D', 'D')",1478,43.18564576337836,1.0,0.02315584223237446,0.1878453038674033,0.40900300766315617
41,41,58,1,Huskies,Huskies_D2,Huskies_M3,1H,483.459683,Simple pass,35,59,37.0,42.0,D,2,23,"(23, 2)",44,M,"('D', 'M')",1520,17.11724276862369,0.75,0.0584206237836986,0.2375690607734807,0.34960067272733436
42,42,59,1,Huskies,Huskies_M3,Huskies_D2,1H,486.904146,Simple pass,37,42,41.0,84.0,M,23,2,"(2, 23)",46,D,"('M', 'D')",1668,42.190046219457976,0.25,0.023702273156998858,0.24861878453038674,0.183600058671047
43,43,60,1,Huskies,Huskies_D2,Huskies_M1,1H,488.64204600000005,Simple pass,41,84,49.0,97.0,D,2,17,"(17, 2)",46,M,"('D', 'M')",1520,15.264337522473747,0.75,0.06551217820804184,0.24861878453038674,0.3631429840214856
44,44,61,1,Huskies,Huskies_M1,Huskies_D1,1H,492.913649,Simple pass,49,97,40.0,86.0,M,17,0,"(0, 17)",85,D,"('M', 'D')",1668,14.212670403551895,0.25,0.07035975447302918,0.4640883977900552,0.2570323265472936
45,45,62,1,Huskies,Huskies_D1,Huskies_D2,1H,495.203497,Simple pass,40,86,43.0,46.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,40.11234224026316,1.0,0.02492998274721141,0.32044198895027626,0.4578013677983789
46,46,63,1,Huskies,Huskies_D2,Huskies_D3,1H,499.17736900000006,Simple pass,43,46,44.0,13.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,33.015148038438355,1.0,0.030289126640769132,0.26519337016574585,0.43398821703240853
47,47,76,1,Huskies,Huskies_D2,Huskies_F2,1H,634.315811,Simple pass,35,61,32.0,72.0,D,2,11,"(11, 2)",56,F,"('D', 'F')",999,11.401754250991381,0.5,0.08770580193070293,0.30386740331491713,0.2894483385581742
48,48,77,1,Huskies,Huskies_D1,Huskies_D3,1H,638.7163360000002,Simple pass,20,67,22.0,37.0,D,0,3,"(3, 0)",105,D,"('D', 'D')",1478,30.066592756745816,1.0,0.033259505261886965,0.574585635359116,0.5362095369398633
49,49,78,1,Huskies,Huskies_D3,Huskies_M3,1H,644.849345,Simple pass,41,42,44.0,35.0,D,3,23,"(23, 3)",54,M,"('D', 'M')",1520,7.6157731058639095,0.75,0.13130643285972254,0.29281767955801097,0.3746212929952345
50,50,79,1,Huskies,Huskies_M3,Huskies_M2,1H,648.45343,Simple pass,44,35,58.0,25.0,M,23,22,"(22, 23)",7,M,"('M', 'M')",1301,17.204650534085253,1.0,0.058123819371909635,0.03314917127071823,0.3759720085883779
51,51,80,1,Huskies,Huskies_M2,Huskies_M3,1H,648.788178,Simple pass,58,25,44.0,45.0,M,22,23,"(23, 22)",12,M,"('M', 'M')",1301,24.413111231467404,1.0,0.04096159602595203,0.06077348066298342,0.3826670141224579
52,52,81,1,Huskies,Huskies_M3,Huskies_D1,1H,654.2725469999998,Simple pass,44,45,45.0,88.0,M,23,0,"(0, 23)",74,D,"('M', 'D')",1668,43.01162633521314,0.25,0.023249527748763852,0.4033149171270719,0.23693348531584818
53,53,82,1,Huskies,Huskies_D1,Huskies_M1,1H,656.786591,Simple pass,45,88,46.0,66.0,D,0,17,"(17, 0)",92,M,"('D', 'M')",1520,22.02271554554524,0.75,0.04540766091864999,0.5027624309392266,0.44089306920203775
54,54,83,1,Huskies,Huskies_M1,Huskies_D2,1H,658.984182,Simple pass,46,66,35.0,53.0,M,17,2,"(2, 17)",63,D,"('M', 'D')",1668,17.029386365926403,0.25,0.05872202195147035,0.3425414364640884,0.21555656720076968
